id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44077,cosy comfortable Irish cottage twin,193005,Teresa,Dublin,Dn Laoghaire-Rathdown,53.28995,-6.25813,Private room,50,3,227,2020-03-06,1.91,3,0
68483,Unique Central Dublin River-view,339817,John,Dublin,Dublin City,53.34501,-6.26552,Entire home/apt,92,3,103,2019-08-12,0.87,1,43
85148,Habitación en Dublín Double room,466111,Don,Dublin,South Dublin,53.3011,-6.31992,Private room,30,1,1,2019-05-11,0.05,1,348
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,Dublin,Dn Laoghaire-Rathdown,53.29178,-6.25618,Private room,51,3,182,2020-03-09,1.56,3,114
121030,Comfy double room in central area 1,608225,Norah,Dublin,Dublin City,53.33648,-6.22075,Private room,55,2,110,2019-03-19,0.95,3,0
159889,Friendly Single Room,766611,Margaret,Dublin,Dublin City,53.39027,-6.23547,Private room,38,2,311,2020-02-09,2.92,3,261
162809,5.5 miles south of Dublin City :^),777681,Robbie,Dublin,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,70,1,289,2020-03-19,4.28,2,0
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,Dublin,Dublin City,53.33744,-6.32363,Entire home/apt,100,5,43,2019-10-22,0.39,5,349
165829,"The ""Michael Collins"" apartment",790601,Grainne,Dublin,Dublin City,53.33744,-6.32363,Entire home/apt,100,7,54,2020-11-02,0.5,5,307
178860,Georgian House in Heart of City Ctr,856312,Danielle,Dublin,Dublin City,53.33282,-6.26821,Private room,80,2,312,2020-03-14,3.09,2,88
181823,comfy room near beach/town2,608225,Norah,Dublin,Dublin City,53.3365,-6.22066,Private room,75,2,50,2020-03-14,3.2,3,365
200979,"""The Lodge, Dalkey Avenue .""",982970,Paul,Dublin,Dn Laoghaire-Rathdown,53.2742,-6.10917,Entire home/apt,160,2,110,2020-10-25,3.4,1,0
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,Dublin,Dublin City,53.39558,-6.17524,Entire home/apt,55,1,279,2020-11-29,2.55,3,236
245893,Double warm cosy bedroom in Lucan,1289720,Sheila,Dublin,South Dublin,53.34471,-6.41602,Private room,45,30,16,2016-08-29,0.15,2,213
245903,Single cosy bedroom in Lucan.,1289720,Sheila,Dublin,South Dublin,53.34636,-6.41734,Private room,30,1,38,2020-09-30,0.38,2,285
246560,Portobello Retreat,435734,Conor,Dublin,Dublin City,53.33001,-6.27186,Private room,75,5,79,2020-01-15,0.79,2,45
261248,Ensuite Rooms,1370323,Brian And Phyllis,Dublin,Dn Laoghaire-Rathdown,53.28467,-6.12436,Private room,37,1,212,2020-03-10,1.92,2,349
266654,small & cosy room for short stays,1398274,Joanne,Dublin,Dublin City,53.3915,-6.29314,Private room,30,2,62,2020-06-03,0.62,1,17
266856,Award Winning Bed & Breakfast...Rm1,1370323,Brian And Phyllis,Dublin,Dn Laoghaire-Rathdown,53.28502,-6.12365,Private room,37,1,135,2020-03-18,1.43,2,349
275425,Luxury family home with all amenities (6 persons),1357428,Emma And Chris,Dublin,Dublin City,53.3267,-6.20921,Entire home/apt,248,3,8,2020-01-11,0.08,1,0
286635,Almanii B&B 2 - Dublin Airport/City,1491424,Mary,Dublin,Dublin City,53.38834,-6.2451,Private room,61,3,24,2017-03-19,0.22,4,200
292757,Old World Converted Stableyard with Swimming Pool,1515549,Sarah,Dublin,Fingal,53.36958,-6.34959,Entire home/apt,121,1,332,2020-07-26,3.29,1,0
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,Dublin,Dublin City,53.35681,-6.29094,Entire home/apt,129,2,55,2019-09-25,0.51,8,277
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,Dublin,Dublin City,53.35681,-6.29094,Entire home/apt,68,2,83,2020-09-01,0.77,8,299
314639,Almanii B&B 4 - Dublin Airport/City,1491424,Mary,Dublin,Dublin City,53.38646,-6.24545,Private room,61,3,10,2014-03-09,0.1,4,351
314640,Almanii B&B 1 - Dublin Airport/City,1491424,Mary,Dublin,Dublin City,53.38731,-6.24458,Private room,61,3,11,2015-09-17,0.11,4,200
314641,Almanii B&B 3 - Dublin Airport/City,1491424,Mary,Dublin,Dublin City,53.38811,-6.24475,Private room,61,3,6,2014-04-10,0.06,4,200
315698,"City Penthouse, Own Balcony, Shower",1625811,Tracey,Dublin,Dublin City,53.3398,-6.2266,Private room,69,5,240,2020-10-16,2.32,1,0
365854,Boutique Cosy Centre Apartment,1847391,Diane,Dublin,Dublin City,53.35305,-6.25708,Entire home/apt,61,2,182,2019-11-25,1.71,1,0
374792,"'Grace Gifford' cottage, Kilmainham",790601,Grainne,Dublin,Dublin City,53.33744,-6.32363,Entire home/apt,100,5,28,2019-06-30,0.27,5,182
386860,"Stylish Canal Side Cottage, Portobello Dublin",1935798,Sinead,Dublin,Dublin City,53.33759,-6.2746,Entire home/apt,164,1,92,2019-12-13,0.9,2,0
393631,Dublin - more than meets the eye!,1968168,Mick & Dee,Dublin,Dublin City,53.35796,-6.24145,Entire home/apt,180,3,72,2017-03-19,0.71,1,0
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,Dublin,Dublin City,53.35682,-6.29132,Entire home/apt,139,2,101,2020-12-12,1.02,8,263
420297,COZY Comfortable Irish Cottage twin room,193005,Teresa,Dublin,Dn Laoghaire-Rathdown,53.2907,-6.25763,Private room,50,3,209,2020-03-08,2.01,3,122
424596,Very Special Oval Georgian Studio,2110301,Karin,Dublin,Dublin City,53.35572,-6.25803,Entire home/apt,113,2,434,2020-08-26,4.19,5,173
425164,LOCATION LOCATION IN DUBLIN ROOM 1,2106659,Hans,Dublin,Dublin City,53.33432,-6.26739,Private room,110,2,241,2020-03-09,2.32,1,90
426326,Large Room With Double & Single Bed,766611,Margaret,Dublin,Dublin City,53.39027,-6.23547,Private room,42,2,239,2020-03-01,2.31,3,0
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,Dublin,Dublin City,53.35572,-6.25803,Entire home/apt,117,2,439,2020-03-15,4.18,5,180
427495,Lovely Double Room in the Attic,766611,Margaret,Dublin,Dublin City,53.39027,-6.23547,Private room,42,2,163,2020-03-08,1.61,3,351
449556,Cloghranguesthouse Quad Room,2232368,Matt,Dublin,Fingal,53.42654,-6.22952,Private room,145,1,215,2020-03-15,2.39,3,363
460461,"Horse riding, Golf, Gym & leisure.",2289306,Maria,Dublin,Fingal,53.40507,-6.25185,Entire home/apt,200,7,4,2013-06-24,0.04,1,365
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,Dublin,South Dublin,53.35349,-6.45184,Private room,70,1,203,2020-06-05,2.01,2,336
497136,Spacious Double Room near beach 3,608225,Norah,Dublin,Dublin City,53.33765,-6.21984,Private room,55,2,113,2019-07-26,1.12,3,318
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,Dublin,Dublin City,53.35572,-6.25801,Entire home/apt,113,2,370,2020-10-24,3.58,5,55
526767,Designer Apt in the heart of Dublin,2340296,Dardo,Dublin,Dublin City,53.34769,-6.26388,Entire home/apt,111,1,504,2020-12-15,4.99,2,0
575339,Double Bedroom Close to City Center,1689834,Moris,Dublin,Dublin City,53.34173,-6.23949,Private room,50,1,0,,,1,0
587218,sunny double room in victorian home,2895736,James And Tom,Dublin,Dublin City,53.36274,-6.27564,Private room,80,2,192,2020-09-18,1.91,1,365
592840,"Fairy House ,A little bit of country in the city",2115318,Siobhan,Dublin,South Dublin,53.35153,-6.45154,Private room,55,1,19,2020-08-20,0.19,2,0
595320,"City views in stylish, cosy apt",2941825,Dee,Dublin,Dublin City,53.33929,-6.28157,Private room,43,3,45,2015-10-09,0.5,2,0
